Hot Water System : Hot Water Supply Temperature Local (°F),AHU-01 VAV : Hot  Water Coil Flow Meter Local (gpm),AHU-01 VAV : Mixed Air Temperature Local (°F),AHU-01 VAV : Supply Fan Air Flow Local (cfm)
120.5,0.2,74.5,743.4
121.7,0.6,69.4,1142.7
119.8,0.2,61.8,815.6
120.5,0.2,75.7,654.7
119.5,0.6,61.5,1069.1
120.8,0.2,75.4,1185.6
121.6,0.6,71.6,737.6
119.8,0.4,74.0,835.6
118.2,0.1,71.6,993.5
119.6,1.6,43.0,968.2
120.2,0.8,64.4,1366.5
120.7,1.6,40.0,985.2
119.8,1.1,63.2,1055.0
118.6,0.2,74.3,733.7
122.2,1.6,59.0,1349.9
118.9,0.1,72.8,666.9
119.5,1.6,46.7,998.4
119.6,0.8,55.1,695.2
120.2,0.2,75.0,741.5
122.4,1.6,40.2,973.5
119.9,1.6,54.5,876.5
121.4,0.4,78.0,1190.0
122.2,1.6,59.9,1065.7
120.0,1.6,61.3,514.8
119.5,0.6,67.1,633.8
120.8,0.2,75.2,1175.9
120.2,0.8,68.9,1254.3
120.9,1.1,56.0,626.4
119.8,0.8,62.0,1065.2
120.6,0.3,58.4,528.5
120.5,0.6,72.1,1182.7
119.4,0.1,75.0,745.9
121.6,0.8,61.9,1063.7
119.8,1.6,61.0,1177.3
121.1,1.6,57.6,1317.7
119.9,0.6,69.2,632.8
118.0,0.1,70.5,650.8
119.5,0.2,76.0,659.1
121.5,0.6,70.3,1143.2
122.0,0.8,68.0,1259.2
121.6,0.2,72.4,1209.0
117.2,0.1,73.1,1326.5
120.1,0.8,69.5,1233.4
121.4,0.4,81.4,1352.8
119.8,0.2,75.0,1173.9
121.3,0.4,77.3,1173.4
120.3,1.6,51.3,1244.6
119.8,0.3,77.2,1016.0
119.7,0.8,55.8,1143.7
121.1,1.6,60.8,1160.7
120.2,0.6,71.9,697.6
119.0,0.1,73.3,668.9
120.4,0.3,72.9,831.7
119.8,0.4,67.3,967.2
119.6,0.4,77.3,1196.3
120.9,0.6,71.2,714.7
119.8,0.2,74.0,1172.0
119.7,0.2,77.7,1269.0
122.2,1.6,55.8,639.1
122.0,0.8,64.5,886.8
119.7,0.6,68.0,643.0
121.3,0.6,67.1,632.8
121.6,1.6,55.2,879.9
120.7,0.6,61.1,795.1
122.2,1.1,60.7,1328.4
120.9,0.4,82.8,1365.5
120.0,0.2,75.6,664.5
120.1,0.2,61.7,821.9
120.6,1.6,44.2,982.3
122.7,1.6,59.7,544.1
121.1,0.3,61.4,542.1
121.4,1.6,46.4,968.2
121.0,0.3,75.0,1410.3
121.5,1.1,60.4,888.7
119.7,0.3,68.8,1221.2
120.5,0.2,75.7,657.2
120.4,0.6,53.3,517.7
122.4,1.6,41.6,973.5
121.7,0.8,68.8,1246.5
119.1,0.2,75.0,918.0
120.8,1.6,50.2,696.2
119.7,1.6,41.9,993.5
121.0,1.1,55.7,623.5
120.9,0.1,73.6,1087.1
120.0,0.6,81.9,1374.3
121.0,0.2,77.5,1092.5
118.9,0.1,75.1,747.3
119.5,0.1,75.2,737.6
119.1,0.1,75.0,788.8
121.7,0.6,82.1,1383.0
120.9,1.6,58.6,1338.2
119.3,0.2,63.6,830.2
119.4,0.8,62.1,576.7
121.5,1.6,59.2,1341.1
120.1,0.2,74.5,1182.2
120.5,1.1,53.4,524.6
118.8,0.2,76.0,918.0
122.4,1.1,59.1,887.7
118.8,0.1,74.5,1299.2
120.1,0.6,65.6,656.7
121.2,1.6,59.9,611.3
121.5,0.8,54.0,514.8
119.8,1.6,61.6,1172.9
117.8,0.1,74.3,1317.7
121.6,1.6,40.6,995.5
120.0,0.2,75.5,1170.0
118.1,0.1,74.0,743.9
119.1,0.1,74.0,765.9
120.2,1.6,61.8,1173.9
120.3,0.2,75.0,1175.9
120.8,0.3,68.6,1243.6
119.6,0.2,74.9,1186.6
121.2,0.8,66.8,1266.0
119.8,0.2,76.9,1359.6
120.7,0.6,71.5,720.0
119.7,0.2,73.8,1023.8
120.7,1.1,60.5,1338.7
118.9,0.2,62.4,840.0
120.2,1.1,76.7,1379.6
121.9,1.6,58.4,548.4
121.0,0.8,55.9,713.7
119.3,0.1,74.7,735.6
120.1,0.3,78.7,1380.1
121.0,0.3,63.5,1137.3
121.2,1.6,41.6,972.1
90.7,0.1,72.1,1311.9
116.8,0.2,75.2,1329.9
120.2,0.2,77.0,1095.9
119.8,1.6,60.4,1182.7
119.9,0.2,67.9,1048.1
119.9,1.6,59.9,1052.0
119.6,0.4,81.3,1396.7
119.2,0.1,71.8,999.9
119.1,0.1,72.0,1016.0
119.1,0.2,62.9,828.3
121.1,1.1,78.4,1381.1
119.6,0.2,61.6,834.1
122.0,1.1,66.4,1315.3
119.7,0.3,59.4,531.4
120.8,0.2,67.7,1058.9
118.7,0.2,62.3,812.2
105.9,0.2,75.6,1375.7
119.9,0.1,75.0,737.6
121.4,0.8,62.1,1056.4
121.5,0.3,78.9,1381.6
119.8,0.8,61.9,1057.9
118.3,0.1,61.2,597.7
119.1,0.2,76.0,661.5
120.4,0.6,67.0,993.0
119.7,0.8,62.6,1070.6
119.7,0.2,64.0,840.9
121.0,0.6,72.6,704.0
120.1,0.4,79.0,1342.6
119.8,0.8,61.9,1066.2
121.2,1.6,58.4,1147.6
117.8,0.1,74.4,719.1
120.2,0.2,75.5,1170.5
122.6,1.6,60.8,526.5
120.2,0.8,61.9,1063.7
121.9,0.8,54.1,520.2
119.4,0.3,56.1,547.0
122.7,1.6,62.4,628.4
118.6,0.2,73.4,1017.9
120.7,1.6,58.9,1172.0
119.8,1.6,60.6,1175.9
121.7,0.6,64.0,905.8
121.2,0.6,69.5,613.8
121.6,1.6,40.2,1006.7
121.0,1.5,40.6,976.5
118.7,0.1,74.4,705.9
118.5,0.1,74.0,732.2
118.8,0.2,61.6,821.4
119.9,0.2,61.9,823.9
120.8,0.4,67.1,984.3
119.6,0.8,53.3,525.5
119.5,1.6,42.0,969.2
121.2,0.4,78.2,1152.5
117.8,0.1,57.1,589.4
121.7,0.8,62.0,1103.2
119.8,1.6,40.1,1000.8
121.9,0.8,55.8,1132.0
117.8,0.1,75.0,723.9
122.2,1.6,40.2,985.2
121.9,0.8,62.3,1076.4
108.1,0.2,75.3,1341.1
121.5,0.6,71.9,1167.6
120.0,0.8,63.8,1328.9
120.5,0.6,61.9,1067.1
121.8,0.6,81.0,1379.1
121.1,0.6,67.0,980.4
120.2,0.2,75.1,701.0
118.9,0.2,75.3,723.0
121.5,0.4,75.4,813.6
118.9,0.2,68.2,656.7
121.8,1.6,58.5,1169.5
118.7,0.1,74.8,734.7
119.2,0.1,76.8,1112.0
120.3,0.2,75.7,903.8
121.6,1.1,60.9,980.9
120.6,1.1,55.1,1143.2
120.0,1.6,60.8,559.2
120.5,0.3,74.1,1173.9
120.6,0.6,67.4,1011.6
120.7,0.2,75.7,673.2
119.4,0.1,75.2,703.0
119.1,0.1,74.5,704.0
121.8,0.8,61.6,1056.4
119.3,0.1,74.8,743.9
122.3,1.6,60.3,1068.6
119.0,0.1,75.1,763.4
121.7,1.6,60.4,1077.4
121.1,0.6,81.8,1363.5
119.7,0.4,75.7,1186.6
120.0,1.6,60.4,619.6
122.3,1.6,60.0,633.8
121.4,1.1,60.8,970.6
122.2,0.8,64.5,1347.5
119.3,0.1,73.4,660.6
119.8,1.1,61.1,1054.0
120.9,0.8,62.0,1064.7
121.9,0.8,55.8,1124.7
120.6,0.3,78.7,1373.8
121.0,0.3,74.2,1195.4
120.1,1.5,40.2,953.6
120.5,0.2,74.6,656.7
117.9,0.1,74.9,742.5
122.7,1.6,58.9,554.3
119.2,0.2,75.2,737.1
121.5,0.3,79.2,1375.7
119.5,0.2,74.3,844.8
117.8,0.1,74.3,1287.0
119.7,0.8,62.4,1063.2
120.8,0.2,67.8,1070.1
122.7,1.6,53.5,893.1
117.8,0.1,57.0,617.7
121.6,0.6,67.5,994.5
120.4,1.1,60.8,1343.6
120.6,0.2,76.1,894.6
119.7,1.6,39.7,974.5
118.5,0.1,75.2,715.2
119.8,0.1,76.8,1121.3
121.5,1.1,55.2,1149.0
121.6,0.4,82.9,1380.1
122.2,1.6,53.6,883.8
119.0,0.2,58.8,918.0
120.0,0.2,62.3,835.1
120.3,1.6,59.9,545.5
120.9,0.2,75.4,638.1
120.2,1.1,61.1,977.0
119.0,0.1,57.4,605.5
120.6,0.2,75.2,1179.8
122.0,1.1,54.4,720.5
119.5,0.3,68.2,1220.7
122.1,0.8,64.1,1354.3
121.1,0.3,58.1,552.3
121.1,1.6,54.4,1141.7
118.7,0.1,74.3,1309.4
118.6,0.1,74.9,701.5
120.9,0.4,79.7,725.4
119.3,0.2,74.7,1185.1
119.6,0.8,62.1,1040.8
120.3,0.8,66.4,956.5
119.7,0.3,74.7,1379.6
119.2,0.2,62.1,861.4
119.7,1.1,55.0,1142.7
120.4,0.3,77.9,1414.7
120.5,0.2,75.8,1099.3
121.0,0.4,67.9,947.2
119.8,0.6,68.1,637.7
120.1,0.2,74.9,1164.6
121.7,0.4,80.2,753.7
120.7,0.6,65.0,645.0
119.7,0.2,74.3,1173.4
119.4,0.1,75.2,754.2
121.6,0.8,61.9,1063.2
119.9,1.6,60.5,537.2
120.6,1.6,59.7,1191.5
119.0,0.2,61.8,835.6
121.6,0.8,62.1,1044.2
118.5,0.3,70.4,886.8
121.5,0.8,66.5,988.2
122.0,0.6,68.4,594.3
120.3,1.6,62.3,771.2
120.5,0.8,53.8,493.8
122.6,1.6,53.7,923.3
119.9,0.8,63.9,1344.0
121.1,0.4,83.1,1384.0
120.5,1.1,53.7,502.1
118.8,0.1,74.0,1268.5
121.3,1.6,43.6,963.3
120.2,1.6,60.7,1153.9
119.3,0.2,76.0,661.1
118.2,0.1,57.0,627.4
121.4,0.8,61.3,614.3
121.2,0.8,61.7,1056.4
119.6,0.6,75.9,1151.0
121.3,0.6,69.1,603.0
120.2,0.8,62.1,1067.6
120.2,0.2,73.9,1135.4
119.8,1.6,60.7,1130.5
121.8,0.8,61.8,1077.4
119.2,0.2,76.5,896.0
121.6,0.6,71.3,705.9
119.6,0.8,62.6,1084.7
119.7,1.6,40.7,980.9
120.4,1.6,61.2,790.7
120.2,0.2,75.0,887.3
121.6,0.6,68.0,600.1
119.3,0.1,75.0,746.9
120.7,0.2,75.8,670.8
120.1,0.2,61.7,808.3
119.7,1.6,55.1,907.7
119.5,1.6,41.7,969.2
120.2,0.6,81.8,1400.1
122.7,1.6,57.4,1302.6
120.9,1.6,55.4,1119.8
118.4,0.3,76.9,1360.1
119.7,1.6,54.9,862.4
122.1,1.1,61.1,1340.1
120.5,0.3,60.5,541.1
121.3,0.3,66.8,979.4
122.0,1.1,55.2,1150.5
119.9,1.1,60.7,1345.5
118.0,0.1,56.9,611.3
120.8,1.6,58.4,1320.6
121.0,0.4,81.8,1362.6
120.4,0.6,72.3,1171.5
119.6,0.8,62.0,788.3
117.9,0.1,74.5,724.9
119.4,0.2,74.9,749.8
122.5,1.6,44.9,981.8
121.0,1.6,56.4,1332.8
120.5,0.2,75.4,1170.5
120.7,1.6,58.0,1170.5
119.9,1.6,60.2,532.8
121.8,0.8,55.9,1135.4
122.4,1.6,40.9,983.3
119.3,0.1,74.5,733.2
119.0,0.2,75.8,651.8
121.3,1.1,54.5,703.0
121.0,0.6,72.6,1159.8
120.1,0.8,68.4,1338.2
120.1,0.6,61.6,1064.2
120.0,1.1,61.1,1352.8
119.7,0.2,75.8,676.2
122.5,1.6,45.7,921.4
117.9,0.1,72.2,998.4
121.4,0.4,81.1,1378.2
121.6,0.4,77.9,1170.5
120.0,0.2,75.0,1163.7
119.6,0.2,69.7,1062.3
120.2,0.3,58.8,536.7
121.1,0.4,66.8,967.2
121.5,0.8,61.7,1073.0
118.9,0.1,73.3,646.9
121.2,0.6,67.6,954.5
119.5,1.6,49.6,724.9
120.1,0.2,75.3,577.2
121.4,1.6,54.0,896.5
120.1,0.2,73.8,1156.8
118.2,0.1,73.2,671.3
121.2,0.6,72.2,1173.9
120.8,0.3,76.3,658.6
121.0,1.6,56.1,609.4
119.3,0.3,67.8,1073.5
121.2,0.6,67.1,647.4
121.5,1.6,58.9,1282.1
119.8,1.1,54.6,717.1
120.9,0.6,62.0,1088.6
120.2,1.1,62.7,1311.4
122.4,1.6,56.4,893.6
119.2,0.2,76.0,650.3
122.5,1.6,39.9,960.4
121.5,0.6,64.4,645.0
122.5,1.6,60.4,529.4
119.9,0.1,75.0,737.6
69.5,0.2,73.7,1377.7
122.1,0.8,63.5,1324.1
118.0,0.1,74.6,742.0
120.2,0.2,74.6,1189.0
120.7,1.1,54.7,675.7
120.3,0.6,53.3,523.1
120.3,0.2,63.1,118.5
120.0,0.2,62.1,810.2
119.9,0.2,62.5,830.7
122.7,1.6,61.4,1159.8
119.3,0.8,73.6,1076.4
118.1,0.1,57.3,613.8
120.6,1.6,54.4,886.3
121.7,0.8,55.7,1120.3
121.5,1.6,61.7,1175.9
119.7,1.1,53.2,512.9
118.8,0.1,74.1,716.1
119.5,0.6,67.3,986.2
119.6,0.8,62.0,1055.4
119.3,0.8,69.1,1246.1
119.6,1.6,55.5,1138.3
121.4,1.6,40.3,985.2
121.9,1.6,40.7,965.7
120.7,0.3,70.0,827.3
120.0,0.2,75.2,1177.3
120.6,0.8,63.0,586.5
119.6,1.6,51.2,1254.8
120.6,0.8,64.9,708.3
118.7,0.3,69.0,1214.9
122.1,1.1,60.6,1349.9
120.7,1.6,62.5,810.7
121.8,0.8,68.7,1324.5
121.8,1.6,41.6,959.4
118.9,0.2,62.3,844.8
119.5,0.4,66.9,1004.7
120.5,0.2,75.5,1167.1
121.3,0.8,63.4,1350.4
120.1,0.1,71.2,1035.0
121.3,0.6,82.2,1415.2
119.6,0.2,75.2,1183.7
119.5,0.3,74.8,1180.7
120.5,1.1,55.7,1147.6
119.1,0.2,74.8,549.9
118.1,0.1,74.6,734.2
118.5,0.1,74.8,725.9
120.0,1.6,75.7,1306.0
119.7,1.6,58.3,1161.2
119.8,0.6,67.8,988.7
121.1,0.8,53.2,521.1
107.9,0.2,75.4,1368.4
120.6,0.6,65.5,632.3
122.0,1.1,55.2,1154.4
121.6,0.8,63.4,1353.8
121.3,0.3,76.4,991.1
122.6,1.6,61.6,535.8
118.4,0.1,74.9,718.6
117.9,0.1,74.0,714.7
120.0,0.1,77.1,1130.0
121.5,0.8,62.2,1069.6
118.3,0.1,76.9,1089.1
120.9,0.8,69.7,1342.1
121.7,0.3,76.2,1383.5
119.1,0.2,61.6,840.0
121.0,1.1,63.2,1291.4
122.1,0.8,63.9,1345.0
120.9,0.8,61.8,1072.5
120.9,0.2,77.4,1083.2
119.3,0.2,62.1,818.0
120.5,0.3,61.4,541.6
119.7,0.3,78.4,1389.9
119.7,0.3,72.9,1012.1
120.5,0.4,60.5,847.3
119.6,0.2,75.7,645.9
121.9,0.8,55.9,1124.7
118.9,0.2,74.7,1171.0
122.0,0.6,68.6,585.5
122.3,1.6,41.0,955.0
121.6,0.8,61.6,1071.5
119.9,0.1,76.8,1089.6
120.2,1.1,61.0,1335.3
119.6,1.1,55.7,1157.3
121.8,0.8,62.6,1057.9
122.0,1.1,55.4,1123.2
121.1,0.3,77.8,1394.7
119.2,0.1,73.0,641.6
119.2,0.1,73.9,725.4
119.3,0.2,73.5,1182.7
120.1,0.2,62.6,810.7
121.5,1.6,58.7,1182.7
121.0,0.4,66.8,949.2
120.1,1.6,55.2,865.3
120.9,1.1,54.9,1160.7
118.9,0.1,73.0,1019.9
121.6,0.6,70.1,1144.2
120.8,0.8,62.1,1096.4
119.4,1.6,51.5,803.9
118.3,0.1,73.1,662.0
119.6,1.1,56.0,609.9
120.5,0.6,68.9,634.7
120.1,1.6,61.7,1178.3
120.3,0.4,78.3,1183.2
122.5,1.1,61.6,1345.5
121.9,1.1,55.2,1165.6
121.5,0.8,64.6,895.1
121.6,0.8,64.2,1359.2
120.3,1.6,55.6,873.6
118.2,0.1,73.1,646.9
117.9,0.1,70.4,665.9
119.1,0.1,72.4,1030.6
121.1,0.8,66.8,982.3
119.8,0.2,61.6,847.3
120.4,0.2,74.5,976.0
120.6,1.6,54.7,1169.0
120.0,0.3,60.2,531.4
120.4,1.1,65.9,798.5
121.9,1.6,47.0,963.8
119.2,0.1,76.4,1101.8
119.4,0.3,61.3,530.4
118.7,0.2,62.4,830.2
121.4,0.4,77.5,1182.7
119.4,0.1,75.1,556.7
120.3,0.3,61.2,530.9
122.4,1.6,53.9,876.0
121.1,0.3,66.1,875.6
120.0,1.1,61.3,1344.0
120.9,0.4,78.3,1167.1
117.6,0.2,76.7,1370.9
119.1,0.2,73.7,824.4
119.7,0.4,79.0,759.0
95.2,0.3,72.4,1406.4
121.8,0.3,61.4,1235.8
118.6,0.1,71.5,994.0
106.3,0.2,75.6,1392.3
118.5,0.1,73.3,653.7
69.5,0.0,73.6,1362.6
121.6,1.6,58.2,1151.5
118.6,0.1,75.2,724.4
119.4,0.2,76.8,1402.5
120.1,0.4,82.6,1366.5
116.7,0.2,75.1,1381.6
119.6,1.1,62.8,1076.4
119.5,1.6,41.0,976.5
121.1,1.6,40.1,989.6
121.8,1.5,40.6,948.2
121.5,1.6,52.1,689.3
119.3,0.1,73.3,645.9
119.7,0.2,62.3,823.9
119.0,0.1,73.2,660.6
119.6,0.6,67.7,951.1
120.0,1.6,54.5,900.9
120.9,0.2,75.0,1008.2
120.4,0.2,75.9,636.2
120.2,0.4,79.6,1365.5
120.0,0.2,74.2,1168.5
120.1,1.6,40.8,955.0
121.0,0.3,70.1,847.3
120.8,0.6,67.8,978.9
121.7,0.8,55.6,1157.3
121.2,0.8,55.7,1187.1
104.6,0.1,72.1,1295.3
121.6,0.8,62.0,1045.2
121.3,0.3,66.5,868.2
119.9,0.4,67.6,999.4
120.6,0.2,74.2,800.5
120.0,0.2,74.5,1179.3
121.5,1.1,60.0,871.7
120.4,0.3,73.2,844.4
120.9,1.6,61.8,1175.9
122.7,1.6,61.7,1198.3
119.4,0.2,75.0,735.6
120.6,0.8,64.5,909.2
120.9,0.3,49.8,692.3
121.3,0.6,71.6,712.2
121.2,0.8,64.2,1352.8
120.3,1.1,60.7,961.8
117.9,0.1,73.4,664.5
120.1,0.2,74.6,595.2
120.0,1.6,56.2,861.9
121.4,0.6,67.3,635.7
120.7,0.3,56.2,500.7
119.6,1.6,40.1,969.6
120.2,0.2,64.1,833.1
120.1,0.1,76.7,1160.3
121.5,0.4,78.2,1191.0
120.6,0.3,61.3,553.8
121.5,0.6,62.1,1067.1
121.5,0.4,78.4,1161.7
121.0,0.3,65.6,884.8
119.8,1.6,58.6,536.7
121.4,0.8,67.3,699.1
119.2,0.1,72.2,662.0
121.3,0.3,77.1,983.3
120.4,0.4,80.5,1349.9
119.3,0.1,74.5,719.6
119.2,0.8,69.6,1228.5
119.6,0.8,63.3,704.0
119.6,1.1,65.0,813.2
118.8,0.1,73.3,1288.5
121.2,1.6,59.2,1347.9
120.4,1.1,61.9,1340.1
120.0,1.6,60.9,1139.3
119.9,1.1,62.4,1345.0
119.3,0.2,65.8,622.5
119.8,1.6,61.3,1169.5
120.7,1.6,61.1,807.8
120.3,0.8,62.5,1058.9
122.2,1.6,59.0,1349.9
120.5,0.6,68.7,648.4
120.0,0.2,75.1,639.1
118.0,0.1,74.8,720.0
85.5,0.3,75.4,1347.9
119.9,0.2,66.1,632.8
120.2,0.2,74.1,1151.0
121.9,0.6,82.2,1341.6
120.0,0.8,69.6,1336.2
120.6,0.8,62.6,1073.0
120.0,0.6,70.2,1159.3
119.6,0.4,78.1,1370.4
118.9,0.2,62.1,798.0
121.1,0.8,62.0,1049.1
119.4,0.8,61.9,631.3
121.7,1.1,60.8,1364.0
69.4,0.0,73.0,1386.0
121.3,0.3,66.3,883.8
121.2,1.6,42.5,984.8
121.1,0.6,69.9,1163.7
120.8,0.2,74.7,1161.2
119.8,0.3,61.3,524.1
119.0,0.2,61.7,809.7
122.6,1.6,40.0,994.0
121.5,0.8,61.9,1051.5
69.4,0.0,73.0,1384.0
119.2,0.1,74.3,1310.9
121.0,0.2,76.8,909.7
118.4,0.1,75.0,747.3
117.9,0.1,72.6,990.6
120.6,0.6,64.2,911.6
121.7,0.8,61.8,1058.9
108.3,0.2,75.2,1387.4
120.8,0.8,61.9,1120.3
119.7,0.1,75.6,1115.4
120.8,0.8,68.6,1215.3
119.3,0.1,75.0,710.8
119.0,0.2,74.8,667.9
119.9,1.6,57.0,1333.3
120.3,0.2,75.2,1212.9
119.3,0.2,75.4,647.4
120.6,1.6,46.3,1005.2
119.9,1.6,60.7,558.7
120.2,1.6,54.6,869.2
120.7,0.4,76.9,1168.1
121.2,0.3,76.4,1378.7
119.0,0.1,73.2,612.8
119.8,1.6,58.8,1341.1
121.6,0.6,65.5,638.6
118.9,0.1,73.3,643.5
120.3,1.6,57.2,1318.2
119.5,0.2,61.7,818.5
119.9,1.6,54.9,869.2
121.6,1.6,54.3,906.8
119.6,0.2,75.5,1172.4
120.5,0.6,61.6,856.1
119.5,0.4,59.8,869.2
119.4,0.2,76.0,654.2
120.9,1.6,62.9,645.0
120.2,1.6,59.8,539.2
120.0,0.6,62.1,1068.6
122.2,1.6,60.4,548.4
121.8,0.8,53.2,548.9
120.7,0.8,64.7,1079.3
107.6,0.2,75.5,1353.8
119.5,0.3,77.2,1351.8
119.8,1.1,60.8,983.8
119.7,0.2,74.5,1189.0
121.8,1.6,58.2,1156.4
122.0,0.6,69.3,615.7
120.9,1.6,60.9,1181.2
121.0,0.2,74.6,985.7
121.1,1.1,61.1,1361.6
119.7,0.4,80.1,740.5
122.6,1.6,55.4,904.8
122.8,1.6,59.9,528.9
119.7,1.6,60.0,1172.0
119.7,0.2,74.2,1157.3
119.9,0.2,74.8,1180.2
119.1,0.2,69.7,1051.1
119.2,0.1,73.3,656.2
120.9,0.3,73.2,839.5
120.4,0.3,68.7,1212.9
119.5,0.3,62.0,531.4
122.1,0.8,65.6,931.1
120.0,0.4,80.7,1345.0
121.7,0.6,70.2,1157.3
121.0,0.8,62.2,1059.3
120.7,0.8,72.8,1319.2
120.4,1.6,40.2,996.5
120.9,1.6,57.8,1327.0
119.8,1.6,55.3,1146.1
122.1,1.6,55.1,1153.4
121.0,0.3,57.1,545.0
119.4,0.3,78.1,1380.6
121.6,1.1,53.3,535.3
122.1,1.6,47.1,984.8
119.2,0.1,73.9,760.5
120.1,0.8,82.7,1393.3
120.2,0.2,76.0,655.2
120.8,0.3,61.4,538.7
121.2,1.6,56.5,900.4
121.2,0.3,66.2,869.7
120.2,0.6,82.2,1370.9
120.3,0.3,68.3,1060.3
119.8,1.6,55.8,647.4
119.4,0.3,61.4,513.3
121.3,0.3,65.5,847.3
120.5,0.2,63.3,549.4
121.7,0.6,65.6,631.8
120.3,0.3,76.7,1015.0
121.9,1.1,52.7,531.9
120.8,0.4,75.5,1158.8
119.8,1.6,59.7,507.5
122.1,1.2,57.3,1304.6
120.7,0.2,76.0,645.5
120.5,0.8,62.2,1068.6
119.9,1.6,62.7,775.1
122.6,1.6,41.2,976.5
122.2,0.6,80.6,1433.3
122.7,1.6,57.1,1271.4
119.8,1.6,58.2,1164.2
120.8,0.2,68.8,1103.2
120.1,0.2,62.9,837.5
120.4,0.2,75.2,1155.9
119.7,0.8,55.5,1123.7
119.2,0.2,77.2,1074.0
120.9,0.4,77.4,1184.6
119.7,0.6,68.7,615.7
119.8,0.6,68.8,592.3
119.8,0.3,77.1,1004.7
120.5,1.6,56.1,887.3
120.3,0.2,74.5,613.8
121.7,1.6,58.6,1275.8
120.0,0.2,74.9,822.4
119.8,0.3,66.0,858.0
119.2,0.2,62.0,819.0
120.6,0.2,67.5,1083.7
117.9,0.1,58.1,593.8
119.6,1.1,54.9,1152.5
120.4,1.6,54.2,601.6
93.7,0.3,74.5,1388.4
120.0,0.1,72.3,564.5
122.4,0.3,68.4,1306.0
119.2,0.2,75.2,999.9
119.9,0.2,61.7,830.2
122.0,1.6,59.9,514.3
119.9,1.6,41.7,978.9
120.1,1.6,57.7,1336.2
122.1,1.6,62.4,1193.4
121.2,0.8,62.9,1172.4
120.5,1.6,59.5,526.0
121.4,0.6,71.7,705.4
120.9,0.6,64.2,877.5
121.0,0.3,68.1,1051.1
119.9,0.3,79.5,1358.7
120.7,0.6,64.1,921.4
120.2,0.6,63.3,903.8
122.6,1.6,57.6,1326.5
120.6,0.3,61.8,536.3
121.1,0.8,55.7,1137.3
119.7,0.6,68.3,654.2
120.0,1.6,58.7,1162.2
121.3,0.4,78.6,738.6
121.2,0.6,82.3,1362.1
119.9,1.6,61.2,540.6
118.1,0.1,72.5,632.8
118.7,0.1,73.4,647.9
119.1,0.1,74.7,721.5
120.3,0.2,75.0,1168.1
119.8,0.3,56.8,513.3
119.3,0.1,74.0,719.1
122.8,1.6,58.9,1190.5
119.4,0.3,61.5,551.4
119.7,0.1,71.4,989.6
121.9,1.6,39.6,970.6
120.1,0.2,62.5,799.5
119.8,0.6,65.0,637.2
120.0,0.6,65.4,648.9
119.3,0.4,82.7,1360.6
122.7,1.6,49.4,1266.0
119.9,0.6,72.2,1136.4
120.2,0.2,74.3,828.3
120.0,0.8,55.5,700.5
120.5,0.4,78.4,1178.3
121.0,0.3,70.3,831.7
119.7,0.3,78.5,1364.5
119.5,0.2,62.9,817.1
118.0,0.2,71.1,658.6
117.8,0.1,74.1,718.6
119.9,0.8,54.0,548.0
120.6,0.2,74.7,1175.9
120.9,0.6,70.1,1161.2
118.8,0.2,61.8,840.0
119.6,0.8,61.9,1060.3
121.3,1.6,56.8,644.5
121.8,0.8,61.8,1084.7
120.5,0.6,82.1,1390.8
119.1,0.2,62.3,814.1
120.5,1.6,55.3,1135.9
122.1,1.6,40.7,968.2
119.2,0.2,75.7,641.1
120.8,0.4,66.5,990.6
122.1,0.1,69.9,1006.7
121.6,0.4,83.1,1338.7
120.9,0.2,75.7,649.4
121.1,0.8,54.5,528.5
122.3,1.6,57.3,1344.0
119.0,0.1,73.0,656.2
120.1,0.2,61.9,813.6
120.5,0.4,79.0,1372.3
121.8,0.6,71.3,717.6
111.9,0.2,76.2,1357.7
120.9,0.4,78.8,1372.3
120.4,0.2,72.6,673.2
120.4,0.8,61.8,1075.4
119.9,0.6,67.0,629.9
119.8,0.2,75.1,563.1
121.0,0.2,69.0,1061.8
120.8,0.2,75.3,1208.5
120.7,1.6,54.3,903.3
120.1,0.6,82.2,1390.4
120.1,0.2,75.0,1168.5
120.0,0.1,77.2,1101.8
122.7,1.6,59.5,637.7
119.9,0.8,62.0,1067.6
119.3,0.1,74.9,746.4
120.0,0.2,75.8,662.5
119.7,1.1,60.9,954.5
122.5,1.6,42.6,994.0
121.4,1.6,60.7,536.7
120.6,0.8,62.3,1048.6
119.2,0.3,73.7,1183.2
121.7,0.6,67.5,977.0
121.1,1.6,49.6,701.5
120.6,1.6,57.1,1329.9
121.1,1.6,59.0,1162.7
119.2,0.1,74.7,736.1
119.2,0.2,75.3,1193.9
118.9,0.1,72.2,626.9
119.6,0.2,75.1,909.2
118.4,0.1,70.8,645.9
119.3,0.3,75.6,1012.5
120.9,0.2,76.7,1077.9
118.4,0.1,58.4,632.3
120.3,0.3,68.0,1073.0
118.3,0.2,76.0,1387.4
122.4,1.6,61.0,1094.4
119.7,1.1,64.7,779.0
119.3,0.2,75.1,715.2
120.8,0.2,63.0,564.0
120.9,1.6,55.4,1008.6
122.8,1.6,61.7,1184.1
122.1,1.6,60.3,1042.3
121.1,0.4,77.8,726.9
119.4,0.2,75.6,1197.8
120.0,0.8,62.5,1061.3
120.2,0.6,82.1,1350.9
120.0,1.6,42.0,959.4
120.8,0.8,62.0,1057.9
122.6,1.1,72.7,1316.7
