Hot Water System : Hot Water Supply Temperature Local (°F),AHU-01 VAV : Hot  Water Coil Flow Meter Local (gpm),AHU-01 VAV : Mixed Air Temperature Local (°F),AHU-01 VAV : Supply Fan Air Flow Local (cfm)
118.8,0.1,61.4,606.0
120.2,1.6,56.5,1329.9
121.1,0.3,79.5,1371.8
120.5,0.8,55.5,1130.0
121.7,1.6,59.5,530.4
120.0,1.6,44.3,997.9
120.4,0.4,59.2,548.0
120.5,0.3,74.3,1126.6
122.2,1.6,60.9,528.9
118.2,0.1,73.3,647.9
122.1,0.6,64.8,916.0
121.6,0.8,61.9,1078.8
119.5,0.2,62.0,819.0
120.7,0.3,79.1,1375.7
121.6,0.4,79.2,739.1
121.3,0.3,73.2,824.9
122.5,1.6,55.9,899.0
118.8,0.2,61.5,818.0
119.4,0.1,75.2,712.2
119.9,1.6,57.1,840.0
122.1,1.6,54.7,907.2
120.4,0.8,61.7,1095.9
120.8,0.6,64.6,643.5
119.0,0.2,62.1,820.0
120.5,0.8,64.8,905.3
121.8,0.8,61.9,1061.8
121.4,0.6,82.0,1367.0
119.6,1.6,61.9,800.0
120.7,0.2,74.3,838.5
121.4,0.6,67.5,971.6
118.0,0.1,75.2,717.6
119.6,0.6,65.2,636.2
119.1,0.4,79.1,1347.5
120.0,0.3,73.9,1152.9
119.7,1.1,55.2,1133.0
120.8,1.6,44.6,979.4
121.7,0.8,62.1,1090.5
121.2,1.6,58.3,1165.1
121.5,1.6,59.9,533.3
121.5,0.8,54.0,528.9
84.1,0.3,74.7,1377.2
122.2,0.8,64.7,1346.0
120.2,0.4,81.1,1383.5
119.4,0.4,78.4,1163.7
120.8,0.2,63.3,557.2
122.2,1.6,60.7,1217.8
121.5,0.6,64.3,630.3
122.2,1.5,53.1,885.3
121.8,0.6,71.4,690.3
119.9,1.6,61.7,1172.0
122.5,1.1,62.2,1347.5
122.7,1.1,77.9,1357.2
118.4,0.1,73.3,664.0
121.6,1.6,55.4,1187.6
119.7,0.2,62.9,818.0
118.3,0.1,72.9,1003.8
122.2,1.6,42.4,946.2
120.8,0.2,69.5,1061.8
121.8,0.8,55.4,1171.0
119.6,1.6,41.4,959.4
119.8,0.3,74.8,1412.8
121.4,0.6,69.4,1143.2
118.5,0.1,73.1,648.9
120.3,0.4,77.3,1180.2
119.3,0.1,73.3,659.1
119.9,0.1,75.2,732.2
119.7,0.3,61.6,552.8
120.8,0.8,62.9,586.5
119.8,0.6,81.5,1377.2
120.7,0.4,78.2,1171.5
121.2,0.6,82.1,1350.9
119.9,1.6,61.4,1174.9
120.3,0.8,55.8,1156.4
121.3,0.3,78.7,1386.9
120.1,0.8,62.2,1076.4
114.8,0.3,73.1,1378.2
121.2,0.8,69.4,1231.9
120.7,0.2,76.1,1189.0
118.6,0.1,73.0,677.1
122.1,1.2,63.3,1054.5
121.0,0.3,60.8,507.5
121.2,1.6,50.9,1252.4
121.5,1.6,60.9,1174.9
119.7,0.2,62.8,838.5
120.8,0.3,78.8,1386.5
121.3,0.6,67.7,986.7
121.2,0.6,69.4,627.9
120.6,0.6,82.1,1394.3
121.5,0.8,62.8,1075.9
121.7,0.8,55.7,1149.0
119.5,0.4,67.7,976.0
118.6,0.1,75.0,696.6
120.8,0.6,70.0,1143.2
119.6,0.8,57.0,700.5
119.5,0.3,68.4,1075.4
