Discharge Temp(F),Water Temp(F),Water Flow Rate(gpm),Intake Air Temp(F),Air Flow(cfm)
78.3,118.6,0.2,75.3,919.9
78.3,118.7,0.2,75.3,912.6
78.3,118.9,0.2,75.3,903.3
78.3,119.1,0.2,75.3,918.5
78.3,119.3,0.2,75.3,914.1
78.3,119.6,0.2,75.2,920.9
78.3,119.8,0.2,75.3,900.9
78.2,120,0.2,75.2,887.7
78.2,120.1,0.2,75.3,908.2
78.2,120.2,0.2,75.2,902.4
78.2,120.2,0.2,75.2,917.5
78.1,120.2,0.2,75.2,900.4
78.1,120.2,0.2,75.2,900.4
78.1,120,0.2,75.2,916
78.1,119.8,0.2,75.1,917.5
78.1,119.6,0.2,75.1,904.8
78.1,119.2,0.2,75.1,910.7
78.1,118.9,0.2,75.1,884.3
78.1,118.6,0.2,75.1,858.5
78.1,118.5,0.2,75.1,921.9
78.1,118.5,0.2,75.1,895.5
78.1,118.7,0.2,75,879.9
78.1,118.9,0.2,75,911.6
78.1,119.1,0.2,75.1,883.4
78.1,119.3,0.2,75.1,913.6
78.1,119.6,0.2,75.1,909.2
78.1,119.9,0.2,75,907.7
78.1,119.9,0.2,75,907.7
78.1,120.1,0.2,75,911.1
78,120.2,0.2,75,935
78,120.2,0.2,75,918
78,120.2,0.2,75,887.3
78.1,120.1,0.2,75,916.5
78.2,119.9,0.2,75,903.8
78.3,119.8,0.2,75,920.9
78.5,119.5,0.2,75,901.9
78.7,119.1,0.2,75,918
78.7,118.8,0.2,75,730.3
78.7,118.6,0.2,75,740
78.7,118.5,0.2,75,714.2
78.7,118.5,0.2,75,722
78.7,118.9,0.2,75,758.1
78.7,118.9,0.2,75,719.1
78.7,119.2,0.2,75,738.6
78.7,119.4,0.2,75,763.4
78.7,119.6,0.2,75,723.9
78.7,119.8,0.2,75,710.8
78.7,120,0.2,75,733.7
78.7,120.1,0.2,75,725.4
78.6,120.2,0.2,75,741.5
78.6,120.2,0.2,75,726.4
78.6,120.2,0.2,75,730.3
78.6,120.1,0.2,75,716.6
78.6,119.9,0.2,75,705.4
78.7,119.7,0.2,75,759
78.7,119.4,0.2,75,735.6
78.7,118.8,0.2,75,702
78.7,---,0.2,75,713.2
78.7,118.5,0.2,75,757.1
78.7,118.5,0.2,75,742
78.7,118.6,0.2,75,687.4
78.7,118.8,0.2,75,730.3
78.7,119,0.2,75,716.6
78.7,119.3,0.2,75,772.7
78.7,119.5,0.2,75,728.8
78.7,119.7,0.2,75,735.6
78.7,119.9,0.2,75,719.1
78.7,120.1,0.2,75.1,738.6
78.8,120.2,0.2,75.1,734.2
78.8,120.3,0.2,75.1,722.5
78.8,120.4,0.2,75.1,747.3
78.8,120.4,0.2,75.1,751.7
78.8,120.4,0.2,75.1,751.7
78.9,120.2,0.2,75.2,735.6
78.9,120.1,0.2,75.2,730.8
79,119.8,0.2,75.2,720
79,119.5,0.2,75.3,709.8
79.1,119.2,0.2,75.2,737.1
79.2,118.9,0.2,75.3,723
79.4,118.7,0.2,75.3,739.5
79.5,118.6,0.2,75.3,724.4
79.8,118.8,0.2,75.3,732.2
80.1,119,0.2,75.4,740
80.5,119.3,0.2,75.4,715.7
80.8,119.6,0.2,75.4,735.6
80.9,120,0.2,75.4,729.3
80.9,120.5,0.2,75.3,740
80.9,120.5,0.2,75.3,709.3
80.9,120.7,0.2,75.3,705.9
80.8,120.8,0.2,75.3,720
80.8,120.8,0.2,75.3,716.1
80.8,120.7,0.2,75.3,713.7
80.8,120.4,0.2,75.3,757.1
80.9,120,0.2,75.3,759
80.9,119.5,0.2,75.3,717.1
80.9,119.1,0.2,75.3,709.3
80.9,119,0.2,75.3,737.6
80.9,119.2,0.2,75.2,774.2
80.9,119.5,0.2,75.2,716.6
80.9,119.8,0.2,75.2,723.9
80.9,120.1,0.2,75.2,735.6
80.8,120.6,0.2,75.2,716.1
80.8,120.7,0.2,75.2,733.7
80.7,120.8,0.2,75.2,750.8
80.7,120.8,0.2,75.2,758.6
80.7,120.7,0.2,75.2,749.3
80.7,120.5,0.2,75.2,734.2
80.7,120.2,0.2,75.1,701
80.7,119.7,0.2,75.1,767.3
80.7,119.3,0.2,75.1,715.2
80.7,119,0.2,75.1,740.5
80.7,119,0.2,75.1,739.5
80.7,119.3,0.2,75.1,728.3
80.7,119.7,0.2,75.1,731.3
80.7,120,0.2,75,726.9
80.6,120.3,0.2,75,744.9
80.6,120.7,0.2,75,708.3
80.6,120.8,0.2,75,708.3
80.5,120.8,0.2,75,733.7
80.5,120.8,0.2,75,725.4
80.4,120.7,0.2,75,715.7
80.5,120.3,0.2,74.9,737.1
80.4,119.9,0.2,74.9,734.2
80.4,119.4,0.2,74.9,749.8
80.4,119.1,0.2,74.8,734.7
80.4,118.9,0.2,74.8,730.3
80.4,119.1,0.2,74.8,745.4
80.3,119.4,0.2,74.7,739.5
80.3,119.8,0.2,74.7,724.4
80.2,120.1,0.2,74.7,721
80.2,120.3,0.2,74.6,689.3
80,120.6,0.2,74.6,706.9
80,120.6,0.2,74.6,706.9
79.9,120.5,0.2,74.5,743.4
79.9,120.3,0.2,74.5,745.4
79.8,120,0.2,74.4,737.6
79.8,119.5,0.2,74.4,720.5
79.7,119,0.2,74.4,744.9
79.6,118.6,0.2,74.3,733.7
79.4,118.6,0.2,74.2,738.6
79.2,118.7,0.2,74.1,719.6
79,119,0.2,74.1,752.2
78.5,119.2,0.2,74,737.1
78,119.4,0.2,74,735.2
77.3,119.4,0.2,73.9,726.4
76.6,119.3,0.2,73.9,740.5
76.2,119.2,0.1,73.9,733.7
76.2,119.2,0.1,73.9,725.4
76.2,119.2,0.1,73.9,760.5
76.2,119.1,0.1,73.9,749.3
76.2,119,0.1,73.9,726.9
76.2,118.8,0.1,73.9,736.6
76.2,118.6,0.1,73.9,728.3
76.2,118.4,0.1,73.9,714.2
76.2,118.3,0.1,73.9,718.1
76.2,118.1,0.1,74,743.9
76.2,117.9,0.1,74,714.7
76.2,117.8,0.1,74,735.6
76.2,117.7,0.1,74,737.6
76.2,117.8,0.1,74,722
76.3,117.8,0.1,74,740.5
76.2,118.1,0.1,74,733.2
76.2,118.1,0.1,74,712.7
76.3,118.2,0.1,74,716.6
76.3,118.4,0.1,74,757.1
76.3,118.5,0.1,74,732.2
76.3,118.6,0.1,74,770.7
76.3,118.8,0.1,74,761.5
76.3,118.9,0.1,74,740
76.2,119,0.1,74,739.5
76.3,119.1,0.1,74,713.2
76.3,119.2,0.1,74,725.9
76.3,119.2,0.1,74,752.7
76.3,119.3,0.1,74,734.7
76.3,119.3,0.1,74,719.1
76.3,119.3,0.1,74.1,752.2
76.3,119.2,0.1,74.1,723
76.3,119.2,0.1,74.1,723
76.3,119.1,0.1,74,765.9
76.3,118.9,0.1,74.1,731.3
76.3,118.8,0.1,74.1,701
76.3,118.6,0.1,74.1,716.1
76.3,118.4,0.1,74.1,729.8
76.3,118.2,0.1,74.1,720.5
76.3,118,0.1,74.1,713.2
76.4,117.8,0.1,74.1,718.6
76.4,117.8,0.1,74.1,737.1
76.4,117.8,0.1,74.1,709.8
76.4,117.8,0.1,74.1,757.6
76.4,117.9,0.1,74.1,726.4
76.3,118,0.1,74.1,743.9
76.3,118.3,0.1,74.1,735.6
76.3,118.3,0.1,74.1,712.7
76.4,118.4,0.1,74.1,745.9
76.4,118.6,0.1,74.1,750.8
76.4,118.7,0.1,74.1,709.3
76.4,118.8,0.1,74.1,716.1
76.3,118.9,0.1,74.1,750.3
76.3,119,0.1,74.1,733.2
76.3,119.1,0.1,74.1,724.9
76.3,119.2,0.1,74.1,716.1
76.3,119.2,0.1,74.1,735.2
76.3,119.3,0.1,74.1,741
76.3,119.3,0.1,74.1,731.3
76.3,119.2,0.1,74.1,725.9
76.3,119.2,0.1,74.1,738.1
76.3,118.9,0.1,74.1,743.9
76.3,118.9,0.1,74.1,737.1
76.3,118.8,0.1,74.1,739.1
76.4,118.6,0.1,74.1,745.4
76.4,118.4,0.1,74.1,723
76.4,118.2,0.1,74.1,711.3
76.4,118,0.1,74.1,719.1
76.4,117.9,0.1,74.1,773.2
76.4,117.8,0.1,74.1,741.5
76.4,117.7,0.1,74.1,733.7
76.4,117.8,0.1,74.1,715.2
76.4,117.9,0.1,74.1,735.6
76.4,118,0.1,74.1,738.6
76.4,118.2,0.1,74.1,740.5
76.4,118.3,0.1,74.1,724.9
76.4,118.6,0.1,74.1,716.1
76.4,118.6,0.1,74.1,716.1
76.4,118.7,0.1,74.1,710.3
76.4,118.8,0.1,74.1,713.2
76.4,119,0.1,74.1,745.9
76.4,119.1,0.1,74.2,728.3
76.4,119.2,0.1,74.2,728.8
76.4,119.2,0.1,74.2,715.2
76.4,119.3,0.1,74.2,751.7
76.4,119.3,0.1,74.2,738.1
76.4,119.3,0.1,74.2,735.2
76.4,119.3,0.1,74.2,738.1
76.4,119.3,0.1,74.2,717.1
76.5,119.2,0.1,74.2,737.6
76.4,119.1,0.1,74.2,723.9
76.5,118.8,0.1,74.2,720
76.5,118.7,0.1,74.2,720
76.5,118.5,0.1,74.2,717.6
76.5,118.3,0.1,74.2,715.7
76.5,118.2,0.1,74.2,714.2
76.5,118,0.1,74.2,741.5
76.5,117.9,0.1,74.2,736.1
76.5,117.8,0.1,74.2,764.4
