Model,MSE,R^2,MAE,CV,Count
small_layers_diamond_100_0.0001_Adam.pt,0.6424568295478821,0.9935601949691772,0.4281550645828247,1.1434327363967896,3
small_layers_diamond_100_0.0001_AdamW.pt,0.6451476216316223,0.9935332536697388,0.44324156641960144,1.1458245515823364,3
small_layers_diamond_100_5e-05_Adam.pt,0.6416236758232117,0.9935685396194458,0.4362677335739136,1.1426910161972046,3
small_layers_diamond_100_5e-05_AdamW.pt,0.6196637153625488,0.9937886595726013,0.41154536604881287,1.1229661703109741,3
small_layers_diamond_250_0.001_Adam.pt,0.6808630228042603,0.9931752681732178,0.465589314699173,1.1771138906478882,3
small_layers_diamond_250_0.001_AdamW.pt,1.2082033157348633,0.9878893494606018,0.8073990345001221,1.5680452585220337,3
small_layers_diamond_250_0.0005_Adam.pt,0.5812829732894897,0.9941734075546265,0.4005398154258728,1.0876330137252808,3
small_layers_diamond_250_0.0005_AdamW.pt,0.725724995136261,0.9927255511283875,0.5035305023193359,1.2152751684188843,3
small_layers_diamond_250_0.0001_Adam.pt,0.5915327072143555,0.9940706491470337,0.4302084445953369,1.0971802473068237,3
small_layers_diamond_250_0.0001_AdamW.pt,0.5610367059707642,0.9943763613700867,0.3837592303752899,1.06852388381958,3
small_layers_diamond_250_5e-05_Adam.pt,0.5758793354034424,0.9942275881767273,0.39766374230384827,1.0825659036636353,3
small_layers_diamond_250_5e-05_AdamW.pt,0.5557802319526672,0.9944290518760681,0.3714737296104431,1.0635064840316772,3
small_layers_diamond_500_0.001_Adam.pt,0.643577516078949,0.9935489892959595,0.44373664259910583,1.1444294452667236,3
small_layers_diamond_500_0.001_AdamW.pt,0.691608726978302,0.9930675029754639,0.4813482165336609,1.186366319656372,3
small_layers_diamond_500_0.0005_Adam.pt,0.619305431842804,0.9937922954559326,0.4275679588317871,1.1226413249969482,3
small_layers_diamond_500_0.0005_AdamW.pt,0.6545469164848328,0.9934390187263489,0.4715796709060669,1.1541413068771362,3
